timestamp,target,scenario,profile_key,matchbox_version,ig_version,java_opts,cpus,threads,requested_rate_per_s,duration_s,samples,failed,error_rate,achieved_rps,http_p50,http_p95,http_p99,validation_p50,validation_p95,validation_p99,heap_bytes_peak,run_dir
20260923T062421Z,local,steady,publish-documentreference-strict,4.1.16,1.15.1,-Xmx4g -Xms4g -XX:+UseG1GC,4,24,0,90,1193,0,0.0,13.266,1447.0,3688.0,4403.0,1440.0,3674.0,4386.0,3943694336.0,20260923T062421Z-local-steady
20260923T062819Z,local,steady,publish-documentreference-strict,4.1.16,1.15.1,-Xmx4g -Xms4g -XX:+UseG1GC,8,24,0,90,1310,0,0.0,14.557,1270.0,3478.0,5333.0,1261.0,3470.0,5327.0,3895027840.0,20260923T062819Z-local-steady
20260923T063236Z,local,steady,publish-documentreference-strict,4.1.16,1.15.1,-Xmx8g -Xms8g -XX:+UseG1GC,4,24,0,90,1313,0,0.0,14.593,1115.0,3621.0,7741.0,1110.0,3618.0,7711.0,7508326232.0,20260923T063236Z-local-steady
20260923T063604Z,local,steady,publish-documentreference-strict,4.1.16,1.15.1,-Xmx4g -Xms4g -XX:+UseParallelGC,4,24,0,90,1596,0,0.0,17.745,1236.0,1859.0,2514.0,1220.0,1850.0,2509.0,2947717824.0,20260923T063604Z-local-steady
20260923T064111Z,local,steady,publish-documentreference-strict,4.1.16,1.15.1,-Xmx4g -Xms4g -XX:+UseG1GC,4,24,0,90,1420,0,0.0,15.798,1208.0,3818.0,5015.0,1201.0,3777.0,5005.0,3772033616.0,20260923T064111Z-local-steady
20260923T064613Z,local,steady,publish-documentreference-strict,4.1.16,1.15.1,-Xmx4g -Xms4g -XX:+UseParallelGC,4,24,0,90,1604,0,0.0,17.835,1202.0,1836.0,3909.0,1183.0,1817.0,3858.0,2885495176.0,20260923T064613Z-local-steady
20260923T065017Z,local,steady,publish-documentreference-strict,4.1.16,1.15.1,-Xmx4g -Xms4g -XX:+UseG1GC,4,24,0,90,1526,0,0.0,16.981,1220.0,2070.0,4154.0,1200.0,2052.0,4099.0,3885691392.0,20260923T065017Z-local-steady
20260923T065356Z,local,steady,publish-documentreference-strict,4.1.16,1.15.1,-Xmx4g -Xms4g -XX:+UseParallelGC,4,24,0,90,1994,0,0.0,22.163,1015.0,1328.0,2056.0,1006.0,1313.0,2046.0,2887712688.0,20260923T065356Z-local-steady
20260923T065756Z,local,steady,publish-documentreference-strict,4.1.16,1.15.1,-Xmx4g -Xms4g -XX:+UseG1GC,4,24,0,90,1410,0,0.0,15.681,1381.0,2137.0,2444.0,1367.0,2125.0,2427.0,3763339264.0,20260923T065756Z-local-steady
20260923T070135Z,local,steady,publish-documentreference-strict,4.1.16,1.15.1,-Xmx4g -Xms4g -XX:+UseParallelGC,4,24,0,90,1944,0,0.0,21.621,1022.0,1379.0,2118.0,1013.0,1363.0,2078.0,2852904240.0,20260923T070135Z-local-steady
20260923T071048Z,local,steady,publish-documentreference-strict,4.1.16,1.15.1,-Xmx4g -Xms4g -XX:+UseZGC,4,24,0,90,647,0,0.0,7.195,2933.0,6013.0,8097.0,2906.0,5951.0,8084.0,4294967296.0,20260923T071048Z-local-steady
20260923T071451Z,local,steady,publish-documentreference-strict,4.1.16,1.15.1,-Xmx4g -Xms4g -XX:+UseParallelGC,4,24,0,90,1965,0,0.0,21.837,1037.0,1326.0,1502.0,1032.0,1318.0,1495.0,2771975096.0,20260923T071451Z-local-steady
20260923T071858Z,local,steady,publish-documentreference-strict,4.1.16,1.15.1,-Xmx4g -Xms4g -XX:+UseParallelGC,4,24,0,90,1603,0,0.0,17.814,1119.0,2332.0,2850.0,1113.0,2323.0,2788.0,2700253744.0,20260923T071858Z-local-steady
20260923T074548Z,local,steady,publish-documentreference-strict,4.1.16,1.15.1,"-Xmx4g -Xms4g -XX:+UseG1GC -Xlog:gc",4,24,0,90,1381,0,0.00000,15.36,1363,2261,3401,1349,2218,3397,3835691008,20260923T074548Z-local-steady
20260923T074948Z,local,steady,publish-documentreference-strict,4.1.16,1.15.1,"-Xmx4g -Xms4g -XX:+UseParallelGC -Xlog:gc",4,24,0,90,1703,0,0.00000,18.95,1129,1705,2691,1117,1694,2679,2865994120,20260923T074948Z-local-steady
20260923T075515Z,local,steady,publish-documentreference-strict,4.1.16,1.15.1,"-Xmx4g -Xms4g -XX:+UseG1GC -Xlog:gc",4,24,0,90,738,0,0.00000,8.20,2593,4361,5051,2574,4297,5021,3923149872,20260923T075515Z-local-steady
20260923T080014Z,local,steady,publish-documentreference-strict,4.1.16,1.15.1,"-Xmx4g -Xms4g -XX:+UseParallelGC -Xlog:gc",4,24,0,90,948,0,0.00000,10.57,1963,3335,3887,1943,3203,3826,3469645688,20260923T080014Z-local-steady
